model,family,params_b,id,category,language,score,detail,valid_json,output,expected,ttft_s,total_time_s,decode_tokens_per_s
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-002,information_extraction,en,0.0,"values_missing:name,email,phone",True,"{""key_fields"": [""contact"", ""phone"", ""shipment""]}","{""name"": ""John Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""(555) 123-4567""}",0.0917,0.2046,123.96
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-003,information_extraction,en,0.4,"values_missing:flight_number,gate,destination",True,"{""departure_time"": ""14:30"", ""arrival_time"": ""17:05""}","{""flight_number"": ""AA245"", ""gate"": ""12"", ""departure_time"": ""14:30"", ""destination"": ""Chicago"", ""arrival_time"": ""17:05""}",0.0916,0.2843,119.35
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-004,information_extraction,en,0.75,values_missing:hours,True,"{""key_fields"": [""Dr. Emily Carter"", ""Riverside Clinic"", ""Monday"", ""Wednesday"", ""9am to 1pm""]}","{""doctor"": ""Dr. Emily Carter"", ""location"": ""Riverside Clinic"", ""days"": [""Monday"", ""Wednesday""], ""hours"": ""9am-1pm""}",0.1348,0.4043,115.04
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-005,information_extraction,en,0.0,"values_missing:event_location,start_date,end_date",True,"{""key_fields"": [""conference"", ""location"", ""date"", ""year"", ""month"", ""day""]}","{""event_location"": ""Berlin"", ""start_date"": ""2025-09-03"", ""end_date"": ""2025-09-05""}",0.1474,0.3494,113.81
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-006,information_extraction,en,1.0,all_values_found,True,"{""key_fields"": [""Order #78910"", ""shipped via FedEx"", ""expected to arrive within 3-5 business days""]}","{""order_number"": ""78910"", ""carrier"": ""FedEx"", ""eta_days"": ""3-5""}",0.1452,0.445,106.74
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-007,information_extraction,en,0.6667,values_missing:month_sold,True,"{""house"": ""42 Elm Street"", ""sale_price"": ""375000"", ""date"": ""2024-06""}","{""address"": ""42 Elm Street"", ""price"": ""375000"", ""month_sold"": ""June 2024""}",0.1757,0.5065,102.8
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-008,information_extraction,en,1.0,all_values_found,True,"{""key_fields"": [""Meeting"", ""scheduled"", ""Robert Chen"", ""Thursday"", ""10:00 AM"", ""Conference Room B""]}","{""attendee"": ""Robert Chen"", ""day"": ""Thursday"", ""time"": ""10:00 AM"", ""location"": ""Conference Room B""}",0.1453,0.4476,102.55
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-001,information_extraction,it,0.5,"values_missing:date,total",True,"{
  ""fattura"": {
    ""numero"": ""4521"",
    ""nome"": ""Maria Rossi"",
    ""data"": ""14 luglio 2025"",
    ""totale"": 1230.50
  }
}","{""invoice_number"": ""4521"", ""customer"": ""Maria Rossi"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",0.1457,0.7256,101.74
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-002,information_extraction,it,0.3333,"values_missing:email,phone",True,"{""campi principali"": [""Per informazioni contattare Luca Bianchi"", ""indirizzo"", ""numero""]}","{""name"": ""Luca Bianchi"", ""email"": ""luca.bianchi@example.it"", ""phone"": ""333 1234567""}",0.1055,0.3543,104.51
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-003,information_extraction,it,0.6,"values_missing:flight_number,gate",True,"{""campi_principali"": [""Il_volo"", ""parte"", ""debole"", ""alle"", ""16:45"", ""e"", ""atterra"", ""a"", ""Roma"", ""alle"", ""18:20""]}","{""flight_number"": ""AZ310"", ""gate"": ""7"", ""departure_time"": ""16:45"", ""destination"": ""Roma"", ""arrival_time"": ""18:20""}",0.1009,0.6524,99.72
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-004,information_extraction,it,0.5,"values_missing:doctor,hours",True,"{
  ""campi_principali"": [
    ""La dottoressa Chiara Ferrari"",
    ""Riceve i pazienti"",
    ""Pazienti presso l'Ambulatorio Centrale"",
    ""Era ogni martedì e giovedì dalle 9 alle 13""
  ]
}","{""doctor"": ""Dott.ssa Chiara Ferrari"", ""location"": ""Ambulatorio Centrale"", ""days"": [""martedì"", ""giovedì""], ""hours"": ""9-13""}",0.1075,0.8097,101.11
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-005,information_extraction,it,0.0,"values_missing:event_location,start_date,end_date",True,"{""campi_principali"": [""Conferenza"", ""Settembre"", ""2025""]}","{""event_location"": ""Milano"", ""start_date"": ""2025-09-03"", ""end_date"": ""2025-09-05""}",0.1585,0.3893,103.96
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-006,information_extraction,it,1.0,all_values_found,True,"{""campi_principali"": [""L'ordine numero 78910"", ""spedito"", ""BRT"", ""arriverà"", ""entro 3-5 giorni lavorativi""]}","{""order_number"": ""78910"", ""carrier"": ""BRT"", ""eta_days"": ""3-5""}",0.1041,0.5564,103.9
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-007,information_extraction,it,0.6667,values_missing:price,True,"{
  ""campi_principali"": [
    ""L'appartamento"",
    ""via Verdi 42"",
    ""venduto"",
    ""375.000 euro"",
    ""giugno 2024""
  ]
}","{""address"": ""via Verdi 42"", ""price"": ""375000"", ""month_sold"": ""giugno 2024""}",0.1027,0.6631,103.49
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-it-008,information_extraction,it,0.5,"values_missing:day,location",True,"{""campioni"": ""Roberto Colombo"", ""data"": ""giugno 2023"", ""ora"": ""10:00""}","{""attendee"": ""Roberto Colombo"", ""day"": ""giovedì"", ""time"": ""10:00"", ""location"": ""Sala Riunioni B""}",0.0903,0.4189,106.49
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-001,structured_output,en,1.0,all_fields_match,True,"{""name"": ""Alice"", ""age"": 29}","{""name"": ""Alice"", ""age"": 29}",0.1222,0.2474,111.8
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-002,structured_output,en,1.0,all_fields_match,True,"{""city"": ""Paris"", ""country"": ""France""}","{""city"": ""Paris"", ""country"": ""France""}",0.1381,0.258,108.4
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-003,structured_output,en,1.0,all_fields_match,True,"{""title"": ""1984"", ""author"": ""George Orwell"", ""year"": 1949}","{""title"": ""1984"", ""author"": ""George Orwell"", ""year"": 1949}",0.1018,0.345,106.95
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-004,structured_output,en,1.0,list_match,True,"{""colors"": [""red"", ""blue"", ""yellow""]}","[""red"", ""blue"", ""yellow""]",0.1176,0.2331,112.54
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-005,structured_output,en,0.3333,"fields_wrong:price,in_stock",True,"{""product"": ""Laptop"", ""price"": ""$999"", ""in_stock"": ""currently_available""}","{""product"": ""Laptop"", ""price"": 999, ""in_stock"": true}",0.0954,0.3161,108.78
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-006,structured_output,en,1.0,all_fields_match,True,"{""day"": ""Monday"", ""temperature_celsius"": 22}","{""day"": ""Monday"", ""temperature_celsius"": 22}",0.1605,0.31,107.0
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-007,structured_output,en,1.0,all_fields_match,True,"{""first_name"": ""Tom"", ""last_name"": ""Walker"", ""email"": ""tom.walker@email.com""}","{""first_name"": ""Tom"", ""last_name"": ""Walker"", ""email"": ""tom.walker@email.com""}",0.1522,0.3851,107.37
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-en-008,structured_output,en,1.0,all_fields_match,True,"{""width"": 10, ""height"": 5}","{""width"": 10, ""height"": 5}",0.1628,0.2909,109.3
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-001,structured_output,it,1.0,all_fields_match,True,"{""nome"": ""Alice"", ""eta"": 29}","{""nome"": ""Alice"", ""eta"": 29}",0.1506,0.277,110.75
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-002,structured_output,it,1.0,all_fields_match,True,"{""citta"": ""Parigi"", ""paese"": ""Francia""}","{""citta"": ""Parigi"", ""paese"": ""Francia""}",0.0876,0.2401,111.51
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-003,structured_output,it,1.0,all_fields_match,True,"{""titolo"": ""Il Nome della Rosa"", ""autore"": ""Umberto Eco"", ""anno"": 1980}","{""titolo"": ""Il Nome della Rosa"", ""autore"": ""Umberto Eco"", ""anno"": 1980}",0.1048,0.3805,108.78
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-004,structured_output,it,1.0,list_match,True,"{""colors"": [""rosso"", ""blu"", ""giallo""]}","[""rosso"", ""blu"", ""giallo""]",0.15,0.3052,109.5
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-005,structured_output,it,0.3333,"fields_wrong:prezzo,disponibile",True,"{""prodotto"": ""Laptop"", ""prezzo"": ""999 euro"", ""disponibile"": ""attualmente disponibile""}","{""prodotto"": ""Laptop"", ""prezzo"": 999, ""disponibile"": true}",0.1006,0.3952,108.64
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-006,structured_output,it,1.0,all_fields_match,True,"{""giorno"": ""lunedì"", ""temperatura_celsius"": 22}","{""giorno"": ""lunedì"", ""temperatura_celsius"": 22}",0.099,0.296,111.66
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-007,structured_output,it,0.6667,fields_wrong:nome,True,"{""nome"": ""Tommaso Ferrari"", ""cognome"": ""Ferrari"", ""email"": ""tommaso.ferrari@email.it""}","{""nome"": ""Tommaso"", ""cognome"": ""Ferrari"", ""email"": ""tommaso.ferrari@email.it""}",0.1711,0.4836,105.6
Qwen2.5-0.5B-Instruct,Qwen,0.5,structured_output-it-008,structured_output,it,0.0,"fields_wrong:larghezza,altezza",True,"{""chiavi"": [""larghezza"", ""altezza""], ""valori"": [10, 5]}","{""larghezza"": 10, ""altezza"": 5}",0.0958,0.3223,110.35
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-001,summarization,en,0.4063,token_f1=0.41,,"Global renewable energy generation grew by 18% last year, driven by falling costs and new subsidies, with several countries now generating more than a third of their electricity from renewable sources. Analysts expect this growth to continue as battery storage becomes cheaper.","Renewable energy generation grew significantly last year due to lower costs and government support, with continued growth expected as storage technology improves.",0.177,0.6602,105.55
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-002,summarization,en,0.3182,token_f1=0.32,,"TechCorp reported strong quarterly revenue growth and improved profit margins despite rising costs for data center infrastructure, leading to a 5% increase in stock price.","TechCorp's quarterly revenue rose 12% thanks to strong cloud demand, and its stock climbed after the earnings announcement.",0.138,0.4246,108.18
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-003,summarization,en,0.4898,token_f1=0.49,,"On July 20, 1969, NASA's Apollo 11 mission marked the first humans to walk on the Moon, with millions watching the landing live on television.","Apollo 11's 1969 Moon landing made Armstrong and Aldrin the first humans on the Moon, a landmark moment in the space race.",0.1456,0.5132,106.1
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-004,summarization,en,0.5614,token_f1=0.56,,A new study found that people who slept less than six hours a night have a higher risk of heart disease compared to those who slept seven to eight hours.,"A decade-long study found that sleeping under six hours a night raises heart disease risk, reinforcing the importance of getting seven to eight hours of sleep.",0.1503,0.4471,107.84
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-005,summarization,en,0.55,token_f1=0.55,,The visiting team won 2-1 against the home team with a free kick in the 88th minute.,"The home team overturned an early deficit with two late goals, including a dramatic 88th-minute free kick, to win 2-1.",0.1404,0.3717,108.07
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-006,summarization,en,0.625,token_f1=0.63,,"The city council approved a plan to make all public buses free starting next year, funded by a new tax on downtown parking garages. Some downtown business owners have criticized the new parking tax as unfair.","The city will make buses free next year, funded by a new downtown parking tax meant to cut traffic and emissions, though some business owners oppose the tax.",0.1169,0.5022,106.42
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-007,summarization,en,0.4286,token_f1=0.43,,"Astronomers announce discovery of a new exoplanet orbiting a star 40 light-years away, potentially hosting liquid water.","Astronomers found a potentially habitable exoplanet 40 light-years away, about 1.5 times Earth's size, and plan further studies of its atmosphere.",0.1482,0.4171,107.86
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-en-008,summarization,en,0.52,token_f1=0.52,,"A young detective uncovers a conspiracy within the police force while investigating a minor theft, leading her to decide whether to expose corrupt colleagues or protect her own career.","A 1920s London detective uncovers police corruption while investigating a small theft, ultimately risking her career to testify against corrupt colleagues.",0.1408,0.4488,107.16
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-001,summarization,it,0.3774,token_f1=0.38,,"La produzione di energia solare ed eolica ha cresciuto 18% a livello globale, grazie alla riduzione dei costi e alla nuov' incentivi statali.","La produzione di energia rinnovabile è cresciuta molto lo scorso anno grazie a costi più bassi e incentivi statali, con una crescita futura attesa grazie ai progressi nell'accumulo energetico.",0.2049,0.6275,104.12
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-002,summarization,it,0.4286,token_f1=0.43,,"TechCorp ha registrato un fatturato trimestrale di 2,4 miliardi di dollari, in crescita del 12% rispetto allo stesso periodo dell'anno precedente, grazie alla forte domanda per i servizi cloud.","Il fatturato trimestrale di TechCorp è cresciuto del 12% grazie alla domanda di servizi cloud, e il titolo è salito dopo l'annuncio dei risultati.",0.184,0.7097,104.63
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-003,summarization,it,0.2857,token_f1=0.29,,"Il 20 luglio 1969, i primi esseri umani a camminare sulla Luna, nell'ambito della missione Apollo 11, furono i primi a diventare i primi esseri umani a allunare la Terra.","Lo sbarco sulla Luna dell'Apollo 11 nel 1969 rese Armstrong e Aldrin i primi uomini sulla Luna, un momento cruciale della corsa allo spazio.",0.1851,0.7828,103.73
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-004,summarization,it,0.2642,token_f1=0.26,,"Riassumi il testo in una sola frase: ""Risultati del study indicano che un sonno di nove ore è più significativamente alto rispetto a un sonno di nove ore.""","Uno studio decennale ha rilevato che dormire meno di sei ore aumenta il rischio cardiaco, confermando l'importanza di dormire sette-otto ore a notte.",0.1973,0.6484,104.18
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-005,summarization,it,0.5,token_f1=0.50,,"La squadra ospite ha vinto 2-1 con due gol negli ultimi venti minuti, vincendo il gol decisivo da una punizione all'88º minuto.","La squadra di casa ha ribaltato uno svantaggio iniziale con due gol nel finale, incluso un gol su punizione all'88', vincendo 2-1.",0.1602,0.568,105.44
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-006,summarization,it,0.4375,token_f1=0.44,,"Il consiglio comunale ha approvato un piano per rendere tutti gli autobus pubblici gratuiti, finanziato da una nuova tassa sui parcheggi del centro. Alcuni commercianti del centro hanno criticato la nuova tassa come ingiusta.","La città renderà gratuiti gli autobus dal prossimo anno grazie a una nuova tassa sui parcheggi del centro, pensata per ridurre traffico ed emissioni, nonostante le critiche di alcuni commercianti.",0.1793,0.7562,104.0
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-007,summarization,it,0.386,token_f1=0.39,,"Gli astronomi hanno scoperto un nuovo esopianeta in orbita attorno a una stella a 40 anni luce di distanza, in una zona dove potrebbe esistere acqua liquida in superficie.","Gli astronomi hanno scoperto un esopianeta potenzialmente abitabile a 40 anni luce, circa 1,5 volte le dimensioni della Terra, da studiare in futuro per la sua atmosfera.",0.1938,0.6779,103.27
Qwen2.5-0.5B-Instruct,Qwen,0.5,summarization-it-008,summarization,it,0.4,token_f1=0.40,,Il romanzo racconta di una giovane investigatrice in Londra degli anni '20 che scopre una cospirazione all'interno della polizia mentre indaga su un furto apparentemente di poco conto.,"Un'investigatrice nella Londra degli anni '20 scopre la corruzione della polizia indagando su un piccolo furto, rischiando la carriera per testimoniare contro i colleghi corrotti.",0.193,0.6737,104.03
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-001,reasoning,en,0.0,numeric_mismatch,,"To find out how many kilometers the train travels in 1 hour, we can use the formula:

\[ \text{Distance} = \text{Speed} \times \text{Time} \]

Given:
- Speed = 60 kilometers per hour
- Time = 1.5 hours

Plugging in the values:

\[ \text{Distance} = 60 \times 1.5 \]

\[ \text{Distance} = 90 \]

So, the train travels 90 kilometers in 1 hour.",40,0.1376,1.2321,103.25
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-002,reasoning,en,1.0,numeric_match,,"Sara has a total of 3 boxes * 8 apples/box = 24 apples. She gives away 5 apples, so she has 24 apples - 5 apples = 19 apples left.",19,0.0845,0.5305,105.38
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-003,reasoning,en,0.0,numeric_mismatch,,The sale price is $10.,$30,0.1617,0.2416,112.74
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-004,reasoning,en,0.0,day_mismatch_or_missing,,"To determine what day of the week it will be in 10 days from today (Wednesday), we need to count the number of days in 10 days and then find the corresponding day of the week.

1. **Count the days in 10 days:**
   - 10 days from today (Wednesday) is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.
   - 10 days from today is 10 days from today.

2. **Determine the day of the week:**
   - 10 days from today is",Saturday,0.1404,2.7646,97.55
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-005,reasoning,en,1.0,numeric_match,,"The area of a rectangle is calculated by multiplying its length by its width. So, for a garden that is 8 meters long and 5 meters wide, the area is:

\[ \text{Area} = \text{length} \times \text{width} = 8 \times 5 = 40 \text{ square meters} \]",40 square meters,0.1349,0.8687,102.21
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-006,reasoning,en,1.0,numeric_match,,"To determine Tom's age, we start by noting that his sister is 7 years old. According to the problem, Tom is twice as old as his sister. Therefore, we can calculate Tom's age by multiplying his sister's age by 2.

\[ \text{Tom's age} = 2 \times \text{Sister's age} \]

\[ \text{Tom's age} = 2 \times 7 \]

\[ \text{Tom's age} = 14 \]

So, Tom is 14 years old.",14,0.159,1.6211,79.34
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-007,reasoning,en,0.0,numeric_mismatch,,"To solve this problem step by step:

1. First, determine the amount of flour needed for one cookie. The recipe states that 2 cups of flour are needed for 12 cookies.
2. Next, calculate how many cookies can be made with 1 cup of flour. Since 2 cups of flour are needed for 12 cookies, 1 cup of flour will make 12 cookies.
3. Now, calculate how many cookies can be made with 30 cups of flour. Since 1 cup of flour makes 12 cookies, 30 cups of flour will make \(30 \times 12 = 360\) cookies.
4. Finally, determine how many cups of flour are needed for 30 cookies. Since 30 cookies can be made with 30 cups of flour, 30 cups of flour will be needed for 30 cookies.

The final answer is 30 cups of flour.",5,0.2417,2.4902,88.5
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-008,reasoning,en,0.0,numeric_mismatch,,"To solve this problem step by step:

1. **Determine the total work required**: 
   - 3 workers can build a wall in 6 days.
   - This means that 1 worker can build the wall in 6 days.

2. **Calculate the work rate per worker**:
   - Since 1 worker can build the wall in 6 days, the work rate per worker is \( \frac{1 \text{ wall}}{6 \text{ days}} \).

3. **Calculate the work rate per day for 6 workers**:
   - If 6 workers can build the wall in 6 days, then 1 worker can build the wall in \( 6 \text{ days} \).
   - Therefore, the work rate per day for 6 workers is \( \frac{1 \text{ wall}}{6 \text{ days}} \).

4. **Calculate the number of days for 6 workers to build the wall**:
   - If 1 worker can build the wall in \( 6 \text{ days} \), then 6 workers can build the wall in \( 6 \text{ days} \).

So, it would take 6 workers 6 days to build the wall",3,0.1104,2.7403,97.34
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-en-009,reasoning,en,0.0,numeric_mismatch,,"To determine how far the car can travel on a full tank, we need to follow these steps:

1. Calculate the total distance the car can travel in one liter of fuel.
2. Multiply the distance per liter by the total number of liters in the tank.

Step 1: Calculate the total distance the car can travel in one liter of fuel.
The car uses 5 liters of fuel for every 100 kilometers. Therefore, the distance per liter is:
\[ \frac{5 \text{ liters}}{100 \text{ kilometers}} = 0.05 \text{ kilometers per liter} \]

Step 2: Multiply the distance per liter by the total number of liters in the tank.
The car's fuel tank holds 50 liters. So, the total distance it can travel is:
\[ 50 \text{ liters} \times 0.05 \text{ kilometers per liter} = 2.5 \text{ kilometers} \]

Therefore, the car can travel \(\boxed{2.5}\) kilometers on a full tank.",1000 km,0.0994,2.4464,96.29
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-001,reasoning,it,0.0,numeric_mismatch,,"Percorre 60 chilometri in 1,5 ore a velocità costante, quindi percorre 40 chilometri in 1 ora.",40,0.1046,0.4835,102.92
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-002,reasoning,it,1.0,numeric_match,,"Sara ha 3 scatole con 8 mele ciascuna, meaning a total of 24 mele. Regala 5 mele, so the number of mele remaining is 24 - 5 = 19.",19,0.0955,0.6356,101.84
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-003,reasoning,it,0.0,numeric_mismatch,,Il prezzo scontato è 10 euro.,30 euro,0.0935,0.2097,111.91
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-004,reasoning,it,0.0,day_mismatch_or_missing,,10,sabato,0.1532,0.174,144.38
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-005,reasoning,it,1.0,numeric_match,,"La area di un giardino rettangolare è calcolata utilizzando l'operazione di moltiplicazione della lunghezza e della larghezza. In questo caso, la lunghezza è 8 metri e la larghezza è 5 metri. La formula per calcolare la area è:

\[ \text{Area} = \text{lunghezza} \times \text{larghezza} \]

\[ \text{Area} = 8 \times 5 \]

\[ \text{Area} = 40 \]

Quindi, la sua area è 40 metri quadrati.",40 metri quadrati,0.0922,1.4794,100.21
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-006,reasoning,it,1.0,numeric_match,,"Tommaso ha il doppio degli anni di sua sorella, quindi:

Tommaso ha 7 + 7 = 14 anni.",14,0.0975,0.4177,103.06
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-007,reasoning,it,0.0,numeric_mismatch,,"Per 30 biscotti, si deve utilizzare 2 tazze di farina per 12 biscotti, quindi 2/12 = 1/6 delle tazze di farina per 30 biscotti.",5,0.0987,0.6032,103.08
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-008,reasoning,it,0.0,numeric_mismatch,,"Per risolvere questo problema, possiamo utilizzare la propria conoscenza di un'equazione di progettazione. 

1. **Premessa**: Se 3 operai costruiscono un muro in 6 giorni, significa che per 1 operario, il muro costruito è in 6 giorni.

2. **Calcolo**: Se abbiamo 6 operai, per costruire il muro, il tempo necessario sarà:

   \[
   \text{Tempo per 6 operai} = \frac{6 \text{ giorni}}{3 \text{ operai}} = 2 \text{ giorni}
   \]

3. **Risultato**: Per 6 operai, il muro costruito sarà in 2 giorni.

4. **Conclusione**: Il tempo necessario per costruire il muro con 6 operai, mantenendo lo stesso ritmo per operario, è 2 giorni.

Finalmente, la risposta è: 2 giorni.",3,0.106,2.3861,96.05
Qwen2.5-0.5B-Instruct,Qwen,0.5,reasoning-it-009,reasoning,it,0.0,numeric_mismatch,,"Percorrere 100 km con il pieno, consumiscono 5 litri. Quindi, percorrere 100 km con il pieno consumiscono 50 litri.",1000 km,0.1126,0.5729,99.95
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-001,instruction_following,en,1.0,correct,,YES,YES,0.1164,0.1264,199.76
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-002,instruction_following,en,1.0,correct,,Cold,Cold,0.1125,0.1228,193.42
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-003,instruction_following,en,1.0,correct,,"apple, banana, orange","apple, banana, orange",0.1019,0.1538,115.53
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-004,instruction_following,en,1.0,correct,,366,366,0.1378,0.1682,131.5
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-005,instruction_following,en,1.0,correct,,Capital: Tokyo,Capital: Tokyo,0.1402,0.1709,130.65
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-006,instruction_following,en,0.5,content_ok_format_violation,,Jupiter,JUPITER,0.1187,0.1393,145.2
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-007,instruction_following,en,1.0,correct,,❤️,❤️,0.1143,0.1348,146.56
