model,category,detail,count
Llama-3.2-1B-Instruct,instruction_following,content_and_format_wrong,6
Llama-3.2-1B-Instruct,instruction_following,format_ok_content_wrong,5
Llama-3.2-1B-Instruct,classification,no_known_label_found,3
Llama-3.2-1B-Instruct,summarization,token_f1=0.52,3
Llama-3.2-1B-Instruct,classification,wrong_or_ambiguous_label,2
Llama-3.2-1B-Instruct,information_extraction,"values_missing:doctor,hours",2
Llama-3.2-1B-Instruct,reasoning,day_mismatch_or_missing,2
Llama-3.2-1B-Instruct,information_extraction,"values_missing:customer,date,total",1
Llama-3.2-1B-Instruct,information_extraction,values_missing:date,1
Llama-3.2-1B-Instruct,information_extraction,values_missing:end_date,1
Llama-3.2-1B-Instruct,information_extraction,values_missing:flight_number,1
Llama-3.2-1B-Instruct,information_extraction,"values_missing:flight_number,gate",1
Llama-3.2-1B-Instruct,information_extraction,values_missing:month_sold,1
Llama-3.2-1B-Instruct,information_extraction,values_missing:name,1
Llama-3.2-1B-Instruct,information_extraction,values_missing:order_number,1
Llama-3.2-1B-Instruct,information_extraction,values_missing:phone,1
Llama-3.2-1B-Instruct,information_extraction,"values_missing:start_date,end_date",1
Llama-3.2-1B-Instruct,structured_output,fields_wrong:price,1
Llama-3.2-1B-Instruct,structured_output,list_mismatch,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.28,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.29,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.32,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.35,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.37,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.42,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.43,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.45,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.47,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.48,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.50,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.55,1
Llama-3.2-1B-Instruct,summarization,token_f1=0.58,1
Gemma-2-2B-it,reasoning,numeric_mismatch,6
Gemma-2-2B-it,instruction_following,format_ok_content_wrong,4
Gemma-2-2B-it,information_extraction,"values_missing:start_date,end_date",2
Gemma-2-2B-it,reasoning,day_mismatch_or_missing,2
Gemma-2-2B-it,summarization,token_f1=0.55,2
Gemma-2-2B-it,summarization,token_f1=0.58,2
Gemma-2-2B-it,summarization,token_f1=0.65,2
Gemma-2-2B-it,classification,wrong_or_ambiguous_label,1
Gemma-2-2B-it,information_extraction,values_missing:attendee,1
Gemma-2-2B-it,information_extraction,values_missing:date,1
Gemma-2-2B-it,information_extraction,"values_missing:date,total",1
Gemma-2-2B-it,information_extraction,"values_missing:doctor,location,hours",1
Gemma-2-2B-it,information_extraction,values_missing:hours,1
Gemma-2-2B-it,information_extraction,values_missing:month_sold,1
Gemma-2-2B-it,information_extraction,values_missing:name,1
Gemma-2-2B-it,summarization,token_f1=0.00,1
Gemma-2-2B-it,summarization,token_f1=0.33,1
Gemma-2-2B-it,summarization,token_f1=0.34,1
Gemma-2-2B-it,summarization,token_f1=0.38,1
Gemma-2-2B-it,summarization,token_f1=0.45,1
Gemma-2-2B-it,summarization,token_f1=0.47,1
Gemma-2-2B-it,summarization,token_f1=0.48,1
Gemma-2-2B-it,summarization,token_f1=0.50,1
Gemma-2-2B-it,summarization,token_f1=0.53,1
Gemma-2-2B-it,summarization,token_f1=0.54,1
Phi-3.5-mini-instruct,instruction_following,content_and_format_wrong,3
Phi-3.5-mini-instruct,instruction_following,format_ok_content_wrong,3
Phi-3.5-mini-instruct,reasoning,numeric_mismatch,3
Phi-3.5-mini-instruct,summarization,token_f1=0.33,2
Phi-3.5-mini-instruct,summarization,token_f1=0.44,2
Phi-3.5-mini-instruct,classification,wrong_or_ambiguous_label,1
Phi-3.5-mini-instruct,information_extraction,"values_missing:date,total",1
Phi-3.5-mini-instruct,information_extraction,"values_missing:doctor,hours",1
Phi-3.5-mini-instruct,information_extraction,values_missing:hours,1
Phi-3.5-mini-instruct,information_extraction,values_missing:price,1
Phi-3.5-mini-instruct,reasoning,day_mismatch_or_missing,1
Phi-3.5-mini-instruct,structured_output,fields_wrong:prezzo,1
Phi-3.5-mini-instruct,structured_output,fields_wrong:price,1
Phi-3.5-mini-instruct,structured_output,list_mismatch,1
Phi-3.5-mini-instruct,summarization,token_f1=0.23,1
Phi-3.5-mini-instruct,summarization,token_f1=0.38,1
Phi-3.5-mini-instruct,summarization,token_f1=0.40,1
Phi-3.5-mini-instruct,summarization,token_f1=0.46,1
Phi-3.5-mini-instruct,summarization,token_f1=0.48,1
Phi-3.5-mini-instruct,summarization,token_f1=0.53,1
Phi-3.5-mini-instruct,summarization,token_f1=0.56,1
Phi-3.5-mini-instruct,summarization,token_f1=0.57,1
Phi-3.5-mini-instruct,summarization,token_f1=0.60,1
Phi-3.5-mini-instruct,summarization,token_f1=0.63,1
Phi-3.5-mini-instruct,summarization,token_f1=0.64,1
Phi-3.5-mini-instruct,summarization,token_f1=0.67,1
